user_id,sample,event_month,post,All_Logins,PC_Logins,Discretionary,Clothing,Entertainment,Restaurants,Travel,Cash_Withdrawals
X_0,X,-3,0,6.532265376913896,5.821690733511505,5.1258433612627465,4.9352342219701315,5.20640467500851,5.371244944689518,4.843508095957348,4.9016445364531975
X_0,X,-2,0,6.677929703473949,5.5988594624124355,5.1236130421273085,4.80790552458188,5.287588999876285,5.485620141898081,5.063130397817395,4.758521503604574
X_0,X,-1,0,6.824774543054873,5.878526988123895,5.101464567032255,5.057305610565929,5.154274626934268,5.452324269432744,4.84966865697153,4.972372822140693
X_0,X,0,1,18.077863093033596,5.361663636257319,5.1101414915085295,4.747478527150093,5.024749741180446,5.258925450728419,4.663344685138077,4.589601974708703
X_0,X,1,1,18.653059473506932,5.984571557271906,5.033231831783958,4.82346552486918,4.980380461911837,5.310916746502672,4.69672204903501,4.732615024226192
X_0,X,2,1,18.81357464446424,6.1911307136166345,5.055218444373109,4.759266595627829,5.03046046141491,5.357492771364451,4.751303963707796,4.696322918871056
X_0,X,3,1,18.995291063185125,6.636513491567787,4.995577417473548,4.787297966004763,5.0503478495379435,5.347626008089217,4.674437238882698,4.569948581711213
X_0,X,4,1,19.66046539774681,7.003058732009991,5.035413739824353,4.758697354543246,5.11238836268259,5.354652969192151,4.68782376785842,4.856660741238544
X_0,X,5,1,18.8756302115964,6.423899094734309,4.9080269906988825,4.789615834867406,5.018658914842117,5.291958589399114,4.644342026409774,4.410380467185202
X_0,X,6,1,17.75724562672364,6.003145986304084,5.092908948140446,4.682607198734963,4.983881881285549,5.251821104743181,4.715524093468103,4.56619646839823
X_0,X,7,1,18.626236795130687,5.918761472464244,5.023868123370772,4.726952959175289,4.959203906736341,5.300525849592519,4.6701485799263915,4.55658316550864
X_0,X,8,1,18.608824843213846,6.093540256370897,5.039269918735493,4.7267913529798875,4.973538024327687,5.3558766907841395,4.712618261756661,4.669645049454165
X_0,X,9,1,18.363084244340794,6.007839814834362,5.123323540963896,4.767249600290237,5.067184080966347,5.363186661134099,4.593815426818047,4.748433219142785
X_0,X,10,1,18.185235836501494,6.413758940401437,5.019396197664314,4.723598076765326,5.032570972944946,5.298475055041431,4.70689512830875,4.647355564549585
X_0,X,11,1,19.3583160102117,6.176495983673434,5.099153961450175,4.708428156509031,5.033649416120221,5.416431738212906,4.660227171326465,4.561444026435107
X_0,X,12,1,19.789177952016157,6.317087163741288,4.971481074350064,4.811948858388946,5.011191375743903,5.360588578454166,4.703782775871309,4.697255633166123
X_1,X,-3,0,3.4185050448636147,5.262816145710036,4.703176476755225,4.8373587144840835,5.270152243491746,4.655589938731473,5.080762622898533,5.409465236759577
X_1,X,-2,0,3.5245142932809235,5.007859228248405,4.799677635964063,4.787663974236979,5.3573438907681386,4.6944323511154025,5.138672805521106,5.32497050671642
X_1,X,-1,0,3.59504859841604,5.363342318906549,4.8329537912494995,4.942347429220712,5.282223971673117,4.661379751416638,5.0593409883809635,5.436982475417426
X_1,X,0,1,14.867977953838485,4.809260242096556,4.640548290817853,4.712591030890025,5.060200079740197,4.547798303810646,4.88207252034774,5.08350198873653
X_1,X,1,1,15.393816954626564,5.529987266248036,4.641791170637231,4.919390003467779,5.135338532599152,4.477882827248999,4.804693355478183,5.166266447046888
X_1,X,2,1,15.570170486906187,5.856033907941513,4.678685893527806,4.719740099505454,5.071715479307481,4.4249983438355205,4.815912232777888,5.154962766000902
X_1,X,3,1,15.913926139851792,5.960059980661106,4.603683058591688,4.70264741412474,5.079862293400844,4.53842696036709,4.871148416303539,5.034994311393198
X_1,X,4,1,16.4282955014736,6.340712311169128,4.709176574457893,4.706071647740043,5.075171696813047,4.513849453074057,4.833989743741673,5.267832123830338
X_1,X,5,1,15.744021534069377,6.069907007597777,4.6835685378337875,4.7501598271473275,5.111755253385562,4.513310267635103,4.762474518149222,5.0100912873093915
X_1,X,6,1,14.515234243985015,5.360951997858304,4.610755834907674,4.657475252107614,5.189788093544577,4.3573774454402265,4.842550989899965,4.931507032725246
X_1,X,7,1,15.44532357885983,5.393528918229041,4.638238013253902,4.569494306241832,5.008289979747903,4.524720592516547,4.791719648795382,5.102965755763828
