user_id,sample,event_month,post,Discretionary Spending,Clothing,Entertainment,Restaurants,Travel,Cash Withdrawals
X_0,X,-3,0,5.327317717280986,4.969239585872053,5.300370549753598,5.79864293038331,4.859752427997709,4.859645033846896
X_0,X,-2,0,5.280455190083917,4.755203837181518,5.257598377424694,5.773400551741964,4.962281756621611,4.798643888155174
X_0,X,-1,0,5.212955872729555,4.940252664347643,5.3871267074964235,5.7602261131796855,4.836299722872728,4.761694112214737
X_0,X,0,1,5.141137940279357,4.7864139788999,5.086294590179231,5.680299829121297,4.6528913781423915,4.518346834035746
X_0,X,1,1,5.108271745894147,4.903481758639854,5.183169407813449,5.598629381756217,4.714050558243492,4.571889339026859
X_0,X,2,1,5.1488002562558535,4.6528843432204186,5.127434966605424,5.641357989997468,4.689846641638102,4.611499935584908
X_0,X,3,1,5.072574662386205,4.695812664634943,5.129918169531974,5.6255227177842775,4.659891374090343,4.635787632836355
X_0,X,4,1,5.1555379909840395,4.592715841646271,5.240048467520086,5.672260814183196,4.589077212623034,4.763515335967453
X_0,X,5,1,5.189907052630414,4.7674318553702175,5.101883392889214,5.596054309411452,4.60948648420851,4.511708777881528
X_0,X,6,1,5.094398364613352,4.671584900581217,5.098527520350045,5.521704596999979,4.663549603758042,4.570743522953951
X_0,X,7,1,5.1147565704266,4.701044494309008,5.141926070302727,5.589258940473757,4.660993092913753,4.659833349848708
X_0,X,8,1,5.136565774550118,4.789100032205108,5.042857013845858,5.722610053422773,4.68727566605024,4.6479811540021165
X_0,X,9,1,5.132945115332391,4.631489403684363,5.17286067465847,5.6893705567796,4.7168180148754075,4.677018010611728
X_0,X,10,1,5.087932396360957,4.6557799972351805,5.209614374935449,5.677952483686997,4.57643530244998,4.588594893181077
X_0,X,11,1,5.133210953973018,4.799300098941052,5.098741614356478,5.595131820874124,4.643317904981725,4.469755774118804
X_0,X,12,1,5.163163090358846,4.793920613023402,5.194099941882469,5.629785571535255,4.6321547755358115,4.551899255387142
X_1,X,-3,0,4.841520261272754,4.595139069600882,4.823418583402043,5.210699734634808,5.946104461102316,5.210451012040184
X_1,X,-2,0,4.839024693497559,4.533938732505871,4.937621555681733,5.183591526526293,6.130234091331015,5.024885558050259
X_1,X,-1,0,4.878194339088767,4.633391992649454,4.979496859713801,5.141932875267655,5.922435805295279,5.1468116877064185
X_1,X,0,1,4.699115925480081,4.420546478909051,4.744339712421378,5.07685164570146,5.665559779051958,4.740717055156221
X_1,X,1,1,4.66552755605031,4.502540986920949,4.733385932455306,5.169522148658146,5.693930285988453,4.821185830605636
X_1,X,2,1,4.759318602605099,4.357318149567493,4.800730140897202,5.137382566121391,5.632718788877203,4.816520599342534
X_1,X,3,1,4.671636881449037,4.417952508978056,4.737509608623091,5.036002597753056,5.7691900288861095,4.802138140077579
X_1,X,4,1,4.731167384253909,4.366183775864039,4.785355908088071,5.143638113265319,5.697746574270199,4.901571335514601
X_1,X,5,1,4.811931467293853,4.412553011434779,4.679791969306863,5.084853108838961,5.604358867093898,4.706643136603042
X_1,X,6,1,4.756572520686986,4.307827249471605,4.797525950629211,5.042664474754095,5.724195958604989,4.802128555548617
X_1,X,7,1,4.686373335936472,4.281174557171315,4.674881422685719,5.021234914158998,5.69923786513456,4.804346505156752
X_1,X,8,1,4.732477281703116,4.420220527840992,4.770007238760891,5.194702132265135,5.729860108943367,5.0032973647454
X_1,X,9,1,4.739926109124866,4.356003487568376,4.72581251926394,5.136149049169429,5.691919811338972,4.942988931120524
X_1,X,10,1,4.732304622965293,4.345219919756347,4.717017458263575,5.026283067172977,5.640767203001913,4.810108846132093
X_1,X,11,1,4.719347428943125,4.356574426453591,4.738016190459554,5.071291297393711,5.678900078795208,4.754975161713196
X_1,X,12,1,4.731553177658916,4.391712850497659,4.80724651218441,5.110064654725681,5.817245512764029,4.829979009017665
X_2,X,-3,0,4.339709841556113,4.587865762051469,5.30521772177899,5.299462538021394,5.241760380921007,6.964314206352023
X_2,X,-2,0,4.292524055294575,4.439246549705438,5.253249456212874,5.30098668242542,5.503256771486699,6.7330024856977735
X_2,X,-1,0,4.355478325540179,4.530451686482957,5.223921040314859,5.321340505304472,5.210737844107797,6.822478506430895
